name,alcoholic,glassware,ingredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strInstructions
'57 Chevy with a White License Plate,Alcoholic,Highball glass,Creme de Cacao,Vodka,,,,,,,,1 oz white ,1 oz , , , , , ,,,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
155 Belmont,Alcoholic,White wine glass,Dark rum,Light rum,Vodka,Orange juice,,,,,,1 shot ,2 shots ,1 shot ,1 shot , , , , , ,Blend with ice. Serve in a wine glass. Garnish with carrot.
9 1/2 Weeks,Alcoholic,Cocktail glass,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,2 oz ,1/2 oz ,1 splash ,1 oz , , , , , ,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Gilligan's Island,Alcoholic,Collins glass,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,1 oz ,1 oz ,3 oz ,3 oz , , , , , ,"Shaken, not stirred!"
A True Amaretto Sour,Alcoholic,Old-fashioned glass,Amaretto,Lemon,Ice,Maraschino cherry,,,,,,1 jigger ,Juice of 1/2 ,"
", , , , , ,,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry."
A.D.M. (After Dinner Mint),Alcoholic,Irish coffee cup,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with , , , , , ,shake vigorously
A1,Alcoholic,Cocktail glass,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,"
","
","
",,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
Abbey Martini,Alcoholic,Cocktail glass,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,2 shots ,1 shot ,1 shot ,3 dashes ,"
","
","
",,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
Absolut Summertime,Alcoholic,Collins glass,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,1 1/2 oz ,3/4 oz ,1/2 oz ,3 oz ,1 slice , , , , ,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.
Absolutely Fabulous,Alcoholic,Champagne flute,Vodka,Cranberry Juice,Champagne,,,,,,,1 shot ,2 shots ,Top up with,"
","
","
","
",,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.
Absolutly Screwed Up,Alcoholic,Collins glass,Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,1 shot ,1 shot ,1 shot ,Fill to top , , , , , ,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
Ace,Alcoholic,Martini Glass,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot ,1/2 Fresh,"
","
",,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Adam & Eve,Alcoholic,Cocktail glass,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,Shake together all the ingredients and strain into a cold glass.
Addington,Alcoholic,Cocktail glass,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,2 shots ,1 shot ,"Top up with
","
","
","
","
",,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
Addison,Alcoholic,Martini Glass,Gin,Vermouth,,,,,,,,1 1/2 shot ,1 1/2 shot ,"
","
","
","
","
",,,Shake together all the ingredients and strain into a cold glass.
Addison Special,Alcoholic,Old-fashioned glass,Vodka,Grenadine,Orange juice,,,,,,,1 shot ,1 tblsp ,Fill with , , , , , ,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
Adios Amigos Cocktail,Alcoholic,Martini Glass,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,1 shot ,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,Shake together all the ingredients and strain into a cold glass.
Afterglow,Non alcoholic,Highball Glass,Grenadine,Orange juice,Pineapple juice,,,,,,,1 part ,4 parts ,4 parts , , , , , ,,Mix. Serve over ice.
Alice Cocktail,Non alcoholic,Cocktail glass,Grenadine,Orange juice,Pineapple juice,Cream,,,,,,1 cl ,1 cl ,2 cl ,4 cl , , , , , ,"Shake well, strain into a large cocktail glass."
Apple Karate,Non alcoholic,Highball Glass,Apple juice,Carrot,,,,,,,,2 cups ,1 large , , , , , ,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
